job_id,job_title,department,location,employment_type,opening_date,closing_date
1,Frontend Developer,Engineering,Noida,Contract,2025-11-05,2025-12-06
2,Frontend Developer,Engineering,Pune,Full-time,2025-07-11,2025-10-08
3,Business Intelligence Analyst,Data,Gurgaon,Full-time,2025-01-22,2025-04-05
4,Business Intelligence Analyst,Data,Delhi,Contract,2025-07-07,2025-08-21
5,Data Scientist,Data,Delhi,Full-time,2025-09-01,2025-11-26
6,Business Analyst,Business,Gurgaon,Full-time,2025-05-15,2025-07-04
7,Product Analyst,Product,Mumbai,Full-time,2025-03-30,2025-06-27
8,Product Manager,Product,Hyderabad,Contract,2025-02-22,2025-03-25
9,Data Scientist,Data,Delhi,Full-time,2025-09-21,2025-12-06
10,Data Analyst,Data,Hyderabad,Full-time,2025-02-19,2025-04-29
11,Frontend Developer,Engineering,Hyderabad,Full-time,2025-02-23,2025-05-05
12,Product Analyst,Product,Mumbai,Full-time,2025-08-06,2025-10-18
13,Software Engineer,Engineering,Noida,Full-time,2025-09-27,2025-11-26
14,Data Scientist,Data,Noida,Full-time,2025-09-09,2025-12-04
15,Product Analyst,Product,Kolkata,Full-time,2025-02-22,2025-04-16
16,Product Manager,Product,Bangalore,Full-time,2025-06-06,2025-07-20
17,Data Scientist,Data,Bangalore,Contract,2025-01-09,2025-03-03
18,ML Engineer,Data,Delhi,Full-time,2025-03-04,2025-04-13
19,ML Engineer,Data,Bangalore,Full-time,2025-06-12,2025-08-15
20,Backend Developer,Engineering,Gurgaon,Contract,2025-08-19,2025-11-14
21,Data Scientist,Data,Mumbai,Full-time,2025-07-20,2025-08-26
22,Data Scientist,Data,Pune,Full-time,2025-03-03,2025-04-25
23,ML Engineer,Data,Delhi,Full-time,2025-08-02,2025-09-27
24,Business Analyst,Business,Delhi,Full-time,2025-04-11,2025-06-26
25,Backend Developer,Engineering,Ahmedabad,Full-time,2025-08-06,2025-10-29
26,Product Manager,Product,Kolkata,Full-time,2025-07-26,2025-09-08
27,Business Analyst,Business,Ahmedabad,Full-time,2025-03-04,2025-05-04
28,Software Engineer,Engineering,Pune,Full-time,2025-04-06,2025-05-09
29,Data Scientist,Data,Hyderabad,Full-time,2025-08-25,2025-10-08
30,Data Scientist,Data,Chennai,Contract,2025-07-06,2025-09-24
